#ID,03A,03B,03C,04A,04B,04C,05A,05B,05C,06A,06B,06C,07A,07B,07C,08A,08B,08C,09A,09B,09C,10A,10B,10C,11A,11B,11C,12A,12B,12C,13A,13B,13C,14A,14B,14C,Asum
D_0__Bacteria;D_1__Planctomycetes;D_2__BD7-11,0,29,108,0,0,0,27,34,399,0,9,0,10,0,66,0,42,0,0,12,16,0,8,0,0,24,0,0,45,6,0,0,56,0,0,0,891
D_0__Bacteria;D_1__Acidobacteria;D_2__Acidobacteriia,73,19,0,3,0,0,300,26,206,0,0,0,21,0,22,0,0,0,11,0,0,0,0,0,0,0,0,140,15,0,0,0,0,14,0,0,850
D_0__Archaea;D_1__Nanoarchaeaeota;D_2__Nanohaloarchaeia,83,3,0,16,0,0,168,29,214,71,5,0,105,0,24,0,0,13,58,0,0,0,0,3,0,0,0,0,25,0,13,0,0,0,10,0,840
D_0__Bacteria;D_1__Acidobacteria;D_2__Blastocatellia (Subgroup 4),12,28,4,5,0,0,149,7,67,0,0,0,70,0,14,0,0,0,0,0,13,0,0,0,50,0,0,210,23,40,0,25,94,20,0,0,831
D_0__Bacteria;D_1__Planctomycetes;__,50,9,0,5,0,0,162,13,260,9,0,0,46,24,0,66,5,0,0,5,0,0,0,3,8,0,0,0,11,0,14,12,0,66,6,0,774
D_0__Bacteria;D_1__Acidobacteria;D_2__Thermoanaerobaculia,0,0,21,0,0,0,8,0,0,0,0,0,0,0,7,715,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,760
D_0__Bacteria;D_1__Zixibacteria;D_2__uncultured bacterium,151,12,0,0,4,0,203,0,58,48,0,0,9,0,30,58,3,0,7,13,0,0,0,0,0,0,0,0,21,0,7,0,55,12,18,0,709
D_0__Bacteria;D_1__Planctomycetes;D_2__Pla3 lineage,144,40,0,28,0,0,109,0,136,48,0,0,71,6,15,0,0,11,6,0,0,0,0,0,0,0,0,0,9,0,0,0,0,69,0,0,692
D_0__Bacteria;D_1__Firmicutes;__,110,94,0,16,0,0,39,0,57,0,0,0,0,14,7,0,0,0,16,4,0,0,0,6,0,15,0,164,29,0,0,0,0,102,18,0,691
D_0__Bacteria;D_1__Elusimicrobia;D_2__Lineage IIb,0,0,0,8,5,0,290,21,0,0,0,0,0,23,16,0,18,0,22,5,0,0,0,0,8,0,0,0,0,0,0,0,0,259,0,0,675
D_0__Bacteria;D_1__Chloroflexi;D_2__KD4-96,0,0,10,0,0,0,12,11,56,10,0,0,15,0,9,0,25,0,0,0,0,0,6,0,0,44,7,0,80,313,0,36,22,0,0,0,656
D_0__Bacteria;D_1__Acidobacteria;__,95,14,0,22,0,0,139,34,44,64,0,0,74,0,0,50,0,0,19,21,0,0,0,0,0,0,0,0,4,0,0,39,0,0,17,0,636
D_0__Bacteria;D_1__Spirochaetes;D_2__Leptospirae,23,0,12,0,0,0,194,9,29,0,0,0,0,0,12,0,15,0,7,0,9,0,0,0,0,75,0,0,44,0,0,120,0,0,0,0,549
D_0__Bacteria;D_1__Entotheonellaeota;D_2__Entotheonellia,25,14,0,8,11,0,159,12,84,30,0,0,13,0,4,0,0,16,8,0,0,0,0,0,0,0,0,0,29,0,42,17,14,37,0,0,523
D_0__Bacteria;D_1__Actinobacteria;__,63,0,0,0,0,0,50,0,89,0,0,0,66,0,16,0,0,0,0,0,0,0,6,0,9,0,0,0,24,0,0,0,0,150,14,0,487
D_0__Archaea;D_1__Thaumarchaeota;__,67,60,0,21,0,0,132,0,47,13,0,0,19,0,3,34,5,0,9,6,0,0,0,0,0,0,0,0,14,29,0,0,0,17,0,0,476
D_0__Archaea;D_1__Diapherotrites;D_2__Micrarchaeia,25,57,0,0,0,0,93,4,53,14,0,0,0,0,0,0,16,0,8,4,0,6,0,0,0,0,0,40,34,14,0,0,0,98,7,0,473
D_0__Bacteria;D_1__Bacteroidetes;D_2__OC31,0,0,0,0,4,0,129,0,0,42,0,0,0,0,12,101,0,0,67,0,0,0,0,0,0,0,0,107,0,0,0,0,0,0,0,0,462
D_0__Archaea;D_1__Thaumarchaeota;D_2__Group 1.1c,27,18,9,0,0,0,122,7,0,33,0,0,70,0,11,31,0,0,0,0,0,4,0,0,0,0,0,36,14,0,0,0,25,42,0,0,449
D_0__Bacteria;D_1__Gemmatimonadetes;D_2__Gemmatimonadetes,82,8,11,0,0,0,118,0,0,0,0,0,39,9,3,57,0,0,10,0,0,0,0,0,0,0,0,13,17,0,26,0,0,41,0,0,434
D_0__Bacteria;D_1__GAL15;D_2__uncultured bacterium,24,25,0,0,0,0,171,0,14,0,0,0,74,0,0,0,0,0,9,0,0,0,0,0,0,0,0,12,0,9,0,0,0,57,0,0,395
D_0__Bacteria;D_1__Elusimicrobia;D_2__Endomicrobia,0,0,0,0,0,0,96,0,63,0,0,15,38,0,9,0,0,0,14,5,0,17,0,0,8,0,0,41,26,0,0,20,0,37,0,0,389
D_0__Bacteria;D_1__Patescibacteria;D_2__WWE3,60,0,0,0,0,0,26,0,46,54,4,7,3,0,0,0,0,0,8,5,0,37,0,6,5,3,0,27,0,29,0,0,0,60,5,0,385
D_0__Bacteria;D_1__Fusobacteria;D_2__Fusobacteriia,43,0,0,15,0,12,23,0,51,17,0,0,17,0,7,0,8,139,0,0,0,28,0,0,0,0,0,0,22,0,0,0,0,0,0,2,384
D_0__Bacteria;D_1__Hydrogenedentes;D_2__Hydrogenedentia,29,0,0,16,0,0,16,27,176,0,0,0,46,0,8,0,0,0,0,0,0,0,0,0,0,0,0,13,0,11,0,0,0,0,0,0,342
D_0__Bacteria;D_1__Epsilonbacteraeota;D_2__Campylobacteria,0,0,37,0,0,0,54,0,24,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213,0,332
D_0__Bacteria;D_1__AncK6;D_2__uncultured bacterium,71,5,0,0,0,0,26,0,0,56,0,0,40,0,6,0,0,0,0,0,0,0,10,0,6,16,0,7,0,0,37,0,0,0,0,0,280
D_0__Bacteria;D_1__Margulisbacteria;__,0,0,0,0,0,0,95,8,0,13,0,37,23,0,6,0,36,0,6,0,0,0,0,0,0,11,0,0,36,0,0,0,0,0,0,0,271
D_0__Bacteria;D_1__Spirochaetes;D_2__MVP-15,0,0,0,0,0,0,14,0,20,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,94,0,0,252
D_0__Bacteria;D_1__Elusimicrobia;D_2__Lineage IIa,39,0,21,12,0,0,76,0,0,5,0,12,23,0,0,0,0,0,17,0,0,0,0,0,7,0,0,24,7,0,0,0,0,0,0,0,243
D_0__Bacteria;D_1__Acidobacteria;D_2__Subgroup 15,123,0,0,0,0,0,43,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,30,0,0,0,0,0,231
D_0__Bacteria;D_1__Chloroflexi;D_2__P2-11E,16,16,0,6,0,0,90,0,19,0,6,0,0,0,0,0,22,0,0,0,0,21,0,4,0,0,0,19,0,0,0,0,0,0,0,0,219
D_0__Bacteria;D_1__Schekmanbacteria;__,0,0,0,0,0,0,179,9,0,0,0,0,0,0,0,0,0,0,15,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211
D_0__Bacteria;D_1__Armatimonadetes;D_2__Chthonomonadetes,100,0,0,0,0,0,15,0,63,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195
D_0__Bacteria;D_1__Firmicutes;D_2__Negativicutes,0,53,15,0,0,0,0,0,16,0,0,0,0,25,11,49,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,195
D_0__Archaea;D_1__Euryarchaeota;D_2__Thermococci,0,8,0,0,0,0,56,0,14,0,0,0,14,0,0,0,30,0,25,0,6,0,0,0,0,4,0,0,6,0,0,0,0,0,0,0,163
D_0__Bacteria;D_1__Lentisphaerae;D_2__Lentisphaeria,0,0,0,0,0,0,51,0,0,26,0,0,0,0,0,0,0,0,63,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163
D_0__Bacteria;D_1__Patescibacteria;__,2,0,0,0,0,0,79,6,21,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,157
D_0__Bacteria;D_1__Patescibacteria;D_2__CPR2,98,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,13,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123
D_0__Bacteria;D_1__Acidobacteria;D_2__Holophagae,0,0,0,0,0,0,89,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,122
D_0__Bacteria;D_1__Actinobacteria;D_2__MB-A2-108,51,20,0,0,0,0,6,0,22,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,121
D_0__Bacteria;D_1__Nitrospinae;D_2__Nitrospinia,0,0,0,0,0,0,83,9,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121
D_0__Bacteria;D_1__Actinobacteria;D_2__Coriobacteriia,0,0,0,0,0,0,12,0,0,0,0,0,0,0,23,0,0,0,0,9,0,0,0,0,0,0,0,32,22,0,0,0,0,0,8,0,106
D_0__Bacteria;D_1__BRC1;D_2__uncultured bacterium,0,0,20,0,0,0,0,0,45,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,98
D_0__Bacteria;D_1__Armatimonadetes;D_2__Fimbriimonadia,0,0,0,0,0,0,33,0,7,0,0,0,11,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,43,97
D_0__Bacteria;D_1__WPS-2;D_2__uncultured bacterium,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,6,16,4,0,25,0,0,0,0,0,0,0,85
D_0__Bacteria;D_1__PAUC34f;D_2__uncultured bacterium,38,8,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,76
D_0__Bacteria;D_1__Firmicutes;D_2__Limnochordia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,73
D_0__Bacteria;D_1__Kiritimatiellaeota;D_2__Kiritimatiellae,0,0,0,0,0,0,25,0,17,0,0,0,10,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,72
D_0__Bacteria;D_1__Armatimonadetes;D_2__Armatimonadia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,69
D_0__Bacteria;D_1__Acidobacteria;D_2__Subgroup 9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,53
D_0__Bacteria;D_1__Gemmatimonadetes;D_2__BD2-11 terrestrial group,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,3,0,0,13,0,0,0,0,0,0,6,0,0,8,0,0,0,0,52
D_0__Bacteria;D_1__Deinococcus-Thermus;D_2__Deinococci,0,0,0,9,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,47
D_0__Bacteria;D_1__FBP;D_2__uncultured bacterium,11,0,0,0,0,0,6,0,8,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38
D_0__Bacteria;D_1__Proteobacteria;__,0,0,0,0,0,0,10,0,19,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,37
D_0__Bacteria;D_1__LCP-89;D_2__uncultured bacterium,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34
D_0__Bacteria;D_1__Poribacteria;D_2__uncultured bacterium,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33
D_0__Archaea;D_1__Crenarchaeota;D_2__Thermoprotei,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32
D_0__Bacteria;D_1__CK-2C2-2;__,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
D_0__Bacteria;D_1__Chloroflexi;D_2__TK17,0,0,0,0,0,0,6,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
D_0__Bacteria;D_1__Chloroflexi;__,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,13,0,0,0,0,26
D_0__Bacteria;D_1__Nitrospirae;D_2__BMS9AB35,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
D_0__Bacteria;D_1__Chloroflexi;D_2__Chloroflexia,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,17
D_0__Bacteria;D_1__Chloroflexi;D_2__OLB14,0,0,0,0,0,0,9,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
D_0__Bacteria;D_1__Acetothermia;D_2__Acetothermiia,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,16
D_0__Bacteria;D_1__Armatimonadetes;D_2__uncultured,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
D_0__Bacteria;D_1__PAUC34f;__,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
D_0__Bacteria;D_1__Schekmanbacteria;D_2__uncultured bacterium,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,14
D_0__Bacteria;D_1__Actinobacteria;D_2__RBG-16-55-12,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
D_0__Bacteria;D_1__Firmicutes;D_2__Erysipelotrichia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
D_0__Bacteria;D_1__Acidobacteria;D_2__Subgroup 18,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
D_0__Bacteria;D_1__Fibrobacteres;D_2__Fibrobacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
D_0__Bacteria;D_1__Fibrobacteres;D_2__Chitinivibrionia,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
D_0__Bacteria;D_1__Planctomycetes;D_2__028H05-P-BN-P5,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
D_0__Archaea;D_1__Euryarchaeota;D_2__Thermoplasmata,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,9
D_0__Bacteria;D_1__Nitrospinae;D_2__P9X2b3D02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
D_0__Archaea;D_1__Crenarchaeota;D_2__Bathyarchaeia,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
D_0__Bacteria;D_1__Margulisbacteria;D_2__uncultured bacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5
D_0__Bacteria;D_1__Patescibacteria;D_2__Kazania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
D_0__Archaea;D_1__Euryarchaeota;D_2__Methanobacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D_0__Archaea;D_1__Euryarchaeota;D_2__Methanomicrobia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__FCPU426;__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
